STATE,TIME_START,TIME_END,IS_CLOSED,COMPONENT_NAME
HV trip,06-JUN-17 05.32.19.048000000 AM,06-JUN-17 05.42.22.487000000 AM,1,ME+2/1/07/3/HVSegment1
HV trip,06-JUN-17 06.07.19.707000000 AM,06-JUN-17 06.17.22.950000000 AM,1,ME+2/1/17/2/HVSegment1
HV trip,06-JUN-17 06.33.35.522000000 AM,06-JUN-17 06.43.38.911000000 AM,1,ME+4/2/24/6/HVSegment5
HV trip,06-JUN-17 06.55.51.497000000 AM,06-JUN-17 07.05.55.063000000 AM,1,ME+4/2/03/6/HVSegment5
HV trip,06-JUN-17 06.58.50.929000000 AM,06-JUN-17 07.08.56.033000000 AM,1,ME+3/1/02/1/HVSegment2
HV trip,06-JUN-17 07.40.00.188000000 AM,06-JUN-17 07.50.03.502000000 AM,1,ME+2/1/17/2/HVSegment1
HV trip,06-JUN-17 08.02.24.536000000 AM,06-JUN-17 08.12.27.759000000 AM,1,ME+3/1/02/1/HVSegment2
HV trip,06-JUN-17 08.03.05.541000000 AM,06-JUN-17 08.13.08.835000000 AM,1,ME+4/2/24/6/HVSegment5
HV trip,06-JUN-17 08.09.55.817000000 AM,06-JUN-17 08.19.59.159000000 AM,1,ME-3/1/18/4/HVSegment2
HV trip,06-JUN-17 09.01.07.953000000 AM,06-JUN-17 09.11.14.848000000 AM,1,ME+2/2/02/4/HVSegment2
HV trip,06-JUN-17 09.17.21.078000000 AM,06-JUN-17 09.27.24.428000000 AM,1,ME+2/2/02/4/HVSegment2
HV trip,12-JUN-17 12.17.31.701000000 PM,12-JUN-17 12.27.35.235000000 PM,1,ME-4/2/35/5/HVSegment1
HV trip,12-JUN-17 07.24.16.158000000 PM,12-JUN-17 07.34.19.721000000 PM,1,ME-2/1/17/5/HVSegment1
HV trip,12-JUN-17 07.26.48.714000000 PM,12-JUN-17 07.36.52.332000000 PM,1,ME+2/1/17/1/HVSegment1
HV trip,12-JUN-17 07.26.48.911000000 PM,12-JUN-17 07.36.52.223000000 PM,1,ME+2/1/17/2/HVSegment1
HV trip,12-JUN-17 07.56.29.118000000 PM,12-JUN-17 08.06.32.488000000 PM,1,ME+2/1/17/2/HVSegment1
HV trip,12-JUN-17 08.06.26.465000000 PM,12-JUN-17 08.16.30.135000000 PM,1,ME-2/1/17/5/HVSegment1
HV trip,12-JUN-17 08.10.48.686000000 PM,12-JUN-17 08.20.52.067000000 PM,1,ME+2/1/17/1/HVSegment1
HV trip,12-JUN-17 08.26.48.871000000 PM,12-JUN-17 08.36.52.203000000 PM,1,ME+4/2/24/6/HVSegment5
HV trip,12-JUN-17 08.36.18.659000000 PM,12-JUN-17 08.46.22.277000000 PM,1,ME+2/1/17/1/HVSegment1
HV trip,12-JUN-17 08.37.27.510000000 PM,12-JUN-17 08.47.30.955000000 PM,1,ME+2/1/17/2/HVSegment1
HV trip,12-JUN-17 09.02.03.031000000 PM,12-JUN-17 09.12.06.316000000 PM,1,ME+4/2/24/6/HVSegment5
HV trip,12-JUN-17 09.09.48.653000000 PM,12-JUN-17 09.19.52.013000000 PM,1,ME+2/1/17/1/HVSegment1
HV trip,12-JUN-17 09.10.35.855000000 PM,12-JUN-17 09.20.39.459000000 PM,1,ME+2/1/17/2/HVSegment1
