CONDITION_ID,STATE,TIME_START,TIME_END,IS_CLOSED,COMPONENT_NAME,REC_DESCRIPTION,FCT_VOLTAGE_SETTING
6088055924,HV weak channel,05-FEB-15 06.13.07.048000000 PM,13-MAY-15 05.39.44.768000000 PM,1,ME+1/1/07/1,HV channel has a lower than nominal voltage setting (2900 V),0
6088055924,HV weak channel,05-FEB-15 06.13.07.048000000 PM,13-MAY-15 05.39.44.768000000 PM,1,ME+1/1/07/1,HV channel has a lower than nominal voltage setting (2900 V),0
6088055924,HV weak channel,05-FEB-15 06.13.07.048000000 PM,13-MAY-15 05.39.44.768000000 PM,1,ME+1/1/07/1,HV channel has a lower than nominal voltage setting (2900 V),0
6088055924,HV weak channel,05-FEB-15 06.13.07.048000000 PM,13-MAY-15 05.39.44.768000000 PM,1,ME+1/1/07/1,HV channel has a lower than nominal voltage setting (2900 V),0
6088055924,HV weak channel,05-FEB-15 06.13.07.048000000 PM,13-MAY-15 05.39.44.768000000 PM,1,ME+1/1/07/1,HV channel has a lower than nominal voltage setting (2900 V),0
6088055924,HV weak channel,05-FEB-15 06.13.07.048000000 PM,13-MAY-15 05.39.44.768000000 PM,1,ME+1/1/07/1,HV channel has a lower than nominal voltage setting (2900 V),2900
6088055928,HV weak channel,05-FEB-15 06.13.07.230000000 PM,13-MAY-15 05.39.44.580000000 PM,1,ME+1/1/07/2,HV channel has a lower than nominal voltage setting (2900 V),0
6088055928,HV weak channel,05-FEB-15 06.13.07.230000000 PM,13-MAY-15 05.39.44.580000000 PM,1,ME+1/1/07/2,HV channel has a lower than nominal voltage setting (2900 V),0
6088055928,HV weak channel,05-FEB-15 06.13.07.230000000 PM,13-MAY-15 05.39.44.580000000 PM,1,ME+1/1/07/2,HV channel has a lower than nominal voltage setting (2900 V),0
6088055928,HV weak channel,05-FEB-15 06.13.07.230000000 PM,13-MAY-15 05.39.44.580000000 PM,1,ME+1/1/07/2,HV channel has a lower than nominal voltage setting (2900 V),0
6088055928,HV weak channel,05-FEB-15 06.13.07.230000000 PM,13-MAY-15 05.39.44.580000000 PM,1,ME+1/1/07/2,HV channel has a lower than nominal voltage setting (2900 V),0
6088055928,HV weak channel,05-FEB-15 06.13.07.230000000 PM,13-MAY-15 05.39.44.580000000 PM,1,ME+1/1/07/2,HV channel has a lower than nominal voltage setting (2900 V),0
6088055928,HV weak channel,05-FEB-15 06.13.07.230000000 PM,13-MAY-15 05.39.44.580000000 PM,1,ME+1/1/07/2,HV channel has a lower than nominal voltage setting (2900 V),2900
6088055932,HV weak channel,05-FEB-15 06.13.07.374000000 PM,13-MAY-15 05.39.44.412000000 PM,1,ME+1/1/07/3,HV channel has a lower than nominal voltage setting (2900 V),0
6088055932,HV weak channel,05-FEB-15 06.13.07.374000000 PM,13-MAY-15 05.39.44.412000000 PM,1,ME+1/1/07/3,HV channel has a lower than nominal voltage setting (2900 V),0
6088055932,HV weak channel,05-FEB-15 06.13.07.374000000 PM,13-MAY-15 05.39.44.412000000 PM,1,ME+1/1/07/3,HV channel has a lower than nominal voltage setting (2900 V),0
6088055932,HV weak channel,05-FEB-15 06.13.07.374000000 PM,13-MAY-15 05.39.44.412000000 PM,1,ME+1/1/07/3,HV channel has a lower than nominal voltage setting (2900 V),0
6088055932,HV weak channel,05-FEB-15 06.13.07.374000000 PM,13-MAY-15 05.39.44.412000000 PM,1,ME+1/1/07/3,HV channel has a lower than nominal voltage setting (2900 V),0
6088055932,HV weak channel,05-FEB-15 06.13.07.374000000 PM,13-MAY-15 05.39.44.412000000 PM,1,ME+1/1/07/3,HV channel has a lower than nominal voltage setting (2900 V),0
6088055932,HV weak channel,05-FEB-15 06.13.07.374000000 PM,13-MAY-15 05.39.44.412000000 PM,1,ME+1/1/07/3,HV channel has a lower than nominal voltage setting (2900 V),2900
6088055936,HV weak channel,05-FEB-15 06.13.07.533000000 PM,13-MAY-15 05.39.44.246000000 PM,1,ME+1/1/07/4,HV channel has a lower than nominal voltage setting (2900 V),0
6088055936,HV weak channel,05-FEB-15 06.13.07.533000000 PM,13-MAY-15 05.39.44.246000000 PM,1,ME+1/1/07/4,HV channel has a lower than nominal voltage setting (2900 V),0
6088055936,HV weak channel,05-FEB-15 06.13.07.533000000 PM,13-MAY-15 05.39.44.246000000 PM,1,ME+1/1/07/4,HV channel has a lower than nominal voltage setting (2900 V),0
6088055936,HV weak channel,05-FEB-15 06.13.07.533000000 PM,13-MAY-15 05.39.44.246000000 PM,1,ME+1/1/07/4,HV channel has a lower than nominal voltage setting (2900 V),0
6088055936,HV weak channel,05-FEB-15 06.13.07.533000000 PM,13-MAY-15 05.39.44.246000000 PM,1,ME+1/1/07/4,HV channel has a lower than nominal voltage setting (2900 V),0
6088055936,HV weak channel,05-FEB-15 06.13.07.533000000 PM,13-MAY-15 05.39.44.246000000 PM,1,ME+1/1/07/4,HV channel has a lower than nominal voltage setting (2900 V),0
6088055936,HV weak channel,05-FEB-15 06.13.07.533000000 PM,13-MAY-15 05.39.44.246000000 PM,1,ME+1/1/07/4,HV channel has a lower than nominal voltage setting (2900 V),2900
6088055940,HV weak channel,05-FEB-15 06.13.07.680000000 PM,13-MAY-15 05.39.44.080000000 PM,1,ME+1/1/07/5,HV channel has a lower than nominal voltage setting (2900 V),0
6088055940,HV weak channel,05-FEB-15 06.13.07.680000000 PM,13-MAY-15 05.39.44.080000000 PM,1,ME+1/1/07/5,HV channel has a lower than nominal voltage setting (2900 V),0
6088055940,HV weak channel,05-FEB-15 06.13.07.680000000 PM,13-MAY-15 05.39.44.080000000 PM,1,ME+1/1/07/5,HV channel has a lower than nominal voltage setting (2900 V),0
6088055940,HV weak channel,05-FEB-15 06.13.07.680000000 PM,13-MAY-15 05.39.44.080000000 PM,1,ME+1/1/07/5,HV channel has a lower than nominal voltage setting (2900 V),0
6088055940,HV weak channel,05-FEB-15 06.13.07.680000000 PM,13-MAY-15 05.39.44.080000000 PM,1,ME+1/1/07/5,HV channel has a lower than nominal voltage setting (2900 V),0
6088055940,HV weak channel,05-FEB-15 06.13.07.680000000 PM,13-MAY-15 05.39.44.080000000 PM,1,ME+1/1/07/5,HV channel has a lower than nominal voltage setting (2900 V),0
