STATE,TIME_START,TIME_END,IS_CLOSED,COMPONENT_NAME
HV disabled channel,20-APR-12 07.24.22.339000000 AM,25-APR-12 08.44.20.045000000 AM,1,ME+1/1/33/6
HV disabled channel,25-APR-12 08.44.21.055000000 AM,08-NOV-12 10.48.10.593000000 AM,1,ME+1/1/33/6
HV disabled channel,13-MAY-12 06.33.14.590000000 AM,14-MAY-12 06.47.52.561000000 PM,1,ME-1/1/25/6
HV disabled channel,18-MAY-12 09.35.34.455000000 PM,21-MAY-12 05.54.41.134000000 PM,1,ME+1/1/26/1
HV disabled channel,21-MAY-12 08.31.48.544000000 AM,23-MAY-12 04.50.37.368000000 AM,1,ME+1/1/01/5
HV disabled channel,22-MAY-12 01.03.00.203000000 AM,23-MAY-12 04.50.39.473000000 AM,1,ME+1/1/08/3
HV disabled channel,25-MAY-12 06.13.13.811000000 AM,28-MAY-12 10.57.05.233000000 AM,1,ME+2/1/13/6/HVSegment2
HV disabled channel,25-MAY-12 11.43.39.226000000 AM,29-MAY-12 10.01.57.781000000 AM,1,ME+1/1/26/1
HV disabled channel,26-MAY-12 04.28.08.736000000 PM,29-MAY-12 10.03.23.837000000 AM,1,ME+1/1/05/6
HV disabled channel,31-MAY-12 09.13.01.405000000 AM,08-NOV-12 10.46.43.859000000 AM,1,ME+1/1/05/6
HV disabled channel,31-MAY-12 11.47.39.544000000 AM,04-JUN-12 07.54.14.761000000 PM,1,ME+1/1/01/5
HV disabled channel,10-JUN-12 12.35.10.305000000 AM,14-JUN-12 10.05.35.065000000 AM,1,ME+1/1/01/5
HV disabled channel,15-JUN-12 05.09.29.677000000 PM,15-JUN-12 05.09.35.643000000 PM,1,ME-1/1/03/1
HV disabled channel,15-JUN-12 05.10.04.786000000 PM,15-JUN-12 05.21.23.231000000 PM,1,ME-1/1/03/1
HV disabled channel,15-JUN-12 05.10.07.581000000 PM,15-JUN-12 05.21.23.255000000 PM,1,ME-1/1/03/2
